BashRC Sourced
00:01:18 | Processed Slot: 1651 | Confirmed Slot: 1651 | Finalized Slot: 1619 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1670 | ◎499.991835000
[01;32mroot[00m [01;34m/workspace/solana-curriculum[00m (main) $ 00:01:18 | Processed Slot: 1652 | Confirmed Slot: 1652 | Finalized Slot: 1620 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1671 | ◎499.991830000
00:01:18 | Processed Slot: 1652 | Confirmed Slot: 1652 | Finalized Slot: 1620 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1671 | ◎499.991830000
00:01:18 | Processed Slot: 1653 | Confirmed Slot: 1653 | Finalized Slot: 1621 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1672 | ◎499.991825000
00:01:19 | Processed Slot: 1653 | Confirmed Slot: 1653 | Finalized Slot: 1621 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1672 | ◎499.991825000
00:01:19 | Processed Slot: 1654 | Confirmed Slot: 1654 | Finalized Slot: 1622 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1673 | ◎499.991820000
00:01:19 | Processed Slot: 1655 | Confirmed Slot: 1655 | Finalized Slot: 1623 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1674 | ◎499.991815000
00:01:19 | Processed Slot: 1655 | Confirmed Slot: 1655 | Finalized Slot: 1623 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1674 | ◎499.991815000
00:01:20 | Processed Slot: 1656 | Confirmed Slot: 1656 | Finalized Slot: 1624 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1675 | ◎499.991810000
00:01:20 | Processed Slot: 1657 | Confirmed Slot: 1656 | Finalized Slot: 1625 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1676 | ◎499.991810000
00:01:20 | Processed Slot: 1657 | Confirmed Slot: 1657 | Finalized Slot: 1625 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1676 | ◎499.991805000
00:01:20 | Processed Slot: 1658 | Confirmed Slot: 1658 | Finalized Slot: 1626 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1677 | ◎499.991800000
00:01:21 | Processed Slot: 1658 | Confirmed Slot: 1658 | Finalized Slot: 1626 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1677 | ◎499.991800000
s00:01:21 | Processed Slot: 1659 | Confirmed Slot: 1659 | Finalized Slot: 1627 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1678 | ◎499.991795000
o00:01:21 | Processed Slot: 1660 | Confirmed Slot: 1659 | Finalized Slot: 1628 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1679 | ◎499.991795000
la00:01:21 | Processed Slot: 1660 | Confirmed Slot: 1660 | Finalized Slot: 1628 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1679 | ◎499.991790000
n00:01:22 | Processed Slot: 1661 | Confirmed Slot: 1661 | Finalized Slot: 1629 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1680 | ◎499.991785000
a00:01:22 | Processed Slot: 1661 | Confirmed Slot: 1661 | Finalized Slot: 1629 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1680 | ◎499.991785000
00:01:22 | Processed Slot: 1662 | Confirmed Slot: 1662 | Finalized Slot: 1630 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1681 | ◎499.991780000
 00:01:22 | Processed Slot: 1663 | Confirmed Slot: 1663 | Finalized Slot: 1631 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1682 | ◎499.991775000
l00:01:23 | Processed Slot: 1663 | Confirmed Slot: 1663 | Finalized Slot: 1631 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1682 | ◎499.991775000
og00:01:23 | Processed Slot: 1664 | Confirmed Slot: 1664 | Finalized Slot: 1632 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1683 | ◎499.991770000
s00:01:23 | Processed Slot: 1664 | Confirmed Slot: 1664 | Finalized Slot: 1632 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1683 | ◎499.991770000
00:01:23 | Processed Slot: 1665 | Confirmed Slot: 1665 | Finalized Slot: 1633 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1684 | ◎499.991765000

Streaming transaction logs. Confirmed commitment
00:01:24 | Processed Slot: 1666 | Confirmed Slot: 1666 | Finalized Slot: 1634 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1685 | ◎499.991760000
00:01:24 | Processed Slot: 1666 | Confirmed Slot: 1666 | Finalized Slot: 1634 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1685 | ◎499.991760000
00:01:24 | Processed Slot: 1667 | Confirmed Slot: 1667 | Finalized Slot: 1635 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1686 | ◎499.991755000
00:01:24 | Processed Slot: 1668 | Confirmed Slot: 1667 | Finalized Slot: 1636 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1687 | ◎499.991755000
00:01:25 | Processed Slot: 1668 | Confirmed Slot: 1668 | Finalized Slot: 1636 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1687 | ◎499.991750000
00:01:25 | Processed Slot: 1669 | Confirmed Slot: 1669 | Finalized Slot: 1637 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1688 | ◎499.991745000
00:01:25 | Processed Slot: 1669 | Confirmed Slot: 1669 | Finalized Slot: 1637 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1688 | ◎499.991745000
00:01:25 | Processed Slot: 1670 | Confirmed Slot: 1670 | Finalized Slot: 1638 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1689 | ◎499.991740000
00:01:26 | Processed Slot: 1671 | Confirmed Slot: 1671 | Finalized Slot: 1639 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1690 | ◎499.991735000
00:01:26 | Processed Slot: 1671 | Confirmed Slot: 1671 | Finalized Slot: 1639 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1690 | ◎499.991735000
00:01:26 | Processed Slot: 1672 | Confirmed Slot: 1672 | Finalized Slot: 1640 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1691 | ◎499.991730000
00:01:26 | Processed Slot: 1672 | Confirmed Slot: 1672 | Finalized Slot: 1640 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1691 | ◎499.991730000
00:01:27 | Processed Slot: 1673 | Confirmed Slot: 1673 | Finalized Slot: 1641 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1692 | ◎499.991725000
00:01:27 | Processed Slot: 1674 | Confirmed Slot: 1674 | Finalized Slot: 1642 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1693 | ◎499.991720000
00:01:27 | Processed Slot: 1674 | Confirmed Slot: 1674 | Finalized Slot: 1642 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1693 | ◎499.991720000
00:01:27 | Processed Slot: 1675 | Confirmed Slot: 1675 | Finalized Slot: 1643 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1694 | ◎499.991715000
00:01:28 | Processed Slot: 1676 | Confirmed Slot: 1675 | Finalized Slot: 1644 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1695 | ◎499.991715000
