[01;32mroot[00m [01;34m/workspace/solana-curriculum/learn-how-to-set-up-solana-by-building-a-hello-world-smart-contract[00m (main) $ [K00:00:59 | Processed Slot: 1605 | Confirmed Slot: 1605 | Finalized Slot: 1573 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1624 | ◎499.992065000
00:00:59 | Processed Slot: 1606 | Confirmed Slot: 1606 | Finalized Slot: 1574 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1625 | ◎499.992060000
00:00:59 | Processed Slot: 1606 | Confirmed Slot: 1606 | Finalized Slot: 1574 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1625 | ◎499.992060000
00:00:59 | Processed Slot: 1607 | Confirmed Slot: 1607 | Finalized Slot: 1575 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1626 | ◎499.992055000
00:01:00 | Processed Slot: 1607 | Confirmed Slot: 1607 | Finalized Slot: 1575 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1626 | ◎499.992055000
00:01:00 | Processed Slot: 1608 | Confirmed Slot: 1608 | Finalized Slot: 1576 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1627 | ◎499.992050000
00:01:00 | Processed Slot: 1609 | Confirmed Slot: 1609 | Finalized Slot: 1577 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1628 | ◎499.992045000
00:01:00 | Processed Slot: 1609 | Confirmed Slot: 1609 | Finalized Slot: 1577 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1628 | ◎499.992045000
00:01:01 | Processed Slot: 1610 | Confirmed Slot: 1610 | Finalized Slot: 1578 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1629 | ◎499.992040000
00:01:01 | Processed Slot: 1610 | Confirmed Slot: 1610 | Finalized Slot: 1578 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1629 | ◎499.992040000
00:01:01 | Processed Slot: 1611 | Confirmed Slot: 1611 | Finalized Slot: 1579 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1630 | ◎499.992035000
00:01:01 | Processed Slot: 1612 | Confirmed Slot: 1612 | Finalized Slot: 1580 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1631 | ◎499.992030000
00:01:02 | Processed Slot: 1612 | Confirmed Slot: 1612 | Finalized Slot: 1580 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1631 | ◎499.992030000
00:01:02 | Processed Slot: 1613 | Confirmed Slot: 1613 | Finalized Slot: 1581 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1632 | ◎499.992025000
00:01:02 | Processed Slot: 1614 | Confirmed Slot: 1613 | Finalized Slot: 1582 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1633 | ◎499.992025000
00:01:02 | Processed Slot: 1614 | Confirmed Slot: 1614 | Finalized Slot: 1582 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1633 | ◎499.992020000
00:01:03 | Processed Slot: 1615 | Confirmed Slot: 1615 | Finalized Slot: 1583 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1634 | ◎499.992015000
00:01:03 | Processed Slot: 1615 | Confirmed Slot: 1615 | Finalized Slot: 1583 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1634 | ◎499.992015000
00:01:03 | Processed Slot: 1616 | Confirmed Slot: 1616 | Finalized Slot: 1584 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1635 | ◎499.992010000
00:01:03 | Processed Slot: 1617 | Confirmed Slot: 1617 | Finalized Slot: 1585 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1636 | ◎499.992005000
00:01:04 | Processed Slot: 1617 | Confirmed Slot: 1617 | Finalized Slot: 1585 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1636 | ◎499.992005000
00:01:04 | Processed Slot: 1618 | Confirmed Slot: 1618 | Finalized Slot: 1586 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1637 | ◎499.992000000
00:01:04 | Processed Slot: 1618 | Confirmed Slot: 1618 | Finalized Slot: 1586 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1637 | ◎499.992000000
00:01:04 | Processed Slot: 1619 | Confirmed Slot: 1619 | Finalized Slot: 1587 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1638 | ◎499.991995000
00:01:05 | Processed Slot: 1620 | Confirmed Slot: 1620 | Finalized Slot: 1588 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1639 | ◎499.991990000
00:01:05 | Processed Slot: 1620 | Confirmed Slot: 1620 | Finalized Slot: 1588 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1639 | ◎499.991990000
00:01:05 | Processed Slot: 1621 | Confirmed Slot: 1621 | Finalized Slot: 1589 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1640 | ◎499.991985000
00:01:05 | Processed Slot: 1622 | Confirmed Slot: 1621 | Finalized Slot: 1590 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1641 | ◎499.991985000
00:01:06 | Processed Slot: 1622 | Confirmed Slot: 1622 | Finalized Slot: 1590 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1641 | ◎499.991980000
00:01:06 | Processed Slot: 1623 | Confirmed Slot: 1623 | Finalized Slot: 1591 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1642 | ◎499.991975000
00:01:06 | Processed Slot: 1623 | Confirmed Slot: 1623 | Finalized Slot: 1591 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1642 | ◎499.991975000
